station_id,state,region,station_lat,station_lon,date,year,month,day_of_year,max_temp_c,heatwave_flag
IMD-1649,West Bengal,East,24.076,87.162,2025-04-25,2025,4,115,30.9,0
IMD-1789,Karnataka,South,16.155,74.504,2023-07-27,2023,7,208,32.0,0
IMD-1225,Maharashtra,West,20.275,76.473,2026-03-23,2026,3,82,34.9,0
IMD-1006,Rajasthan,Northwest,27.92,72.465,2024-02-26,2024,2,57,42.9,0
IMD-1219,Madhya Pradesh,Central,22.333,76.716,2020-08-24,2020,8,237,40.6,0
IMD-1299,Bihar,Indo-Gangetic Plain,24.693,84.911,2023-04-17,2023,4,107,27.6,0
IMD-1045,Rajasthan,Northwest,26.162,72.61,2022-10-25,2022,10,298,49.4,0
IMD-1166,Madhya Pradesh,Central,22.472,79.249,2021-04-16,2021,4,106,29.5,0
IMD-1675,West Bengal,East,22.919,89.11,2022-01-23,2022,1,23,39.6,0
IMD-1469,Haryana,Northwest,30.392,74.544,2024-03-25,2024,3,85,35.1,0
IMD-1886,Kerala,South,9.833,78.18,2021-08-14,2021,8,226,31.7,0
IMD-1836,Tamil Nadu,South Peninsula,10.828,80.415,2024-08-16,2024,8,229,36.5,0
IMD-1032,Rajasthan,Northwest,26.17,74.388,2020-07-07,2020,7,189,35.2,0
IMD-1310,Bihar,Indo-Gangetic Plain,26.32,86.82,2025-10-14,2025,10,287,43.3,0
IMD-1382,Odisha,East,22.231,83.116,2023-03-21,2023,3,80,35.5,0
IMD-1595,Telangana,South Peninsula,18.485,76.612,2023-08-30,2023,8,242,42.1,0
IMD-1080,Uttar Pradesh,Indo-Gangetic Plain,25.619,82.502,2023-06-27,2023,6,178,34.8,0
IMD-1137,Uttar Pradesh,Indo-Gangetic Plain,26.303,82.56,2023-03-25,2023,3,84,38.4,0
IMD-1396,Gujarat,West,23.645,69.383,2020-09-25,2020,9,269,41.1,0
IMD-1465,Haryana,Northwest,29.0,74.333,2020-01-10,2020,1,10,48.1,1
IMD-1719,Chhattisgarh,Central,22.138,80.915,2023-03-10,2023,3,69,36.9,0
IMD-1635,Punjab,Northwest,30.834,73.841,2022-03-08,2022,3,67,40.3,1
IMD-1310,Bihar,Indo-Gangetic Plain,26.32,86.82,2022-07-08,2022,7,189,33.7,0
IMD-1623,Punjab,Northwest,30.016,74.434,2024-04-26,2024,4,117,35.0,0
IMD-1431,Gujarat,West,23.504,71.946,2024-11-28,2024,11,333,48.2,0
IMD-1701,Chhattisgarh,Central,22.274,82.385,2021-04-24,2021,4,114,28.9,0
IMD-1616,Punjab,Northwest,31.149,73.805,2020-06-21,2020,6,173,35.7,0
IMD-1854,Tamil Nadu,South Peninsula,9.991,76.773,2025-06-09,2025,6,160,30.4,0
IMD-1788,Karnataka,South,13.9,74.298,2026-08-29,2026,8,241,35.2,0
IMD-1474,Haryana,Northwest,28.554,75.661,2020-09-06,2020,9,250,40.6,0
IMD-1442,Gujarat,West,23.43,71.82,2023-01-16,2023,1,16,41.9,0
IMD-1503,Delhi,Northwest,29.074,79.13,2025-10-19,2025,10,292,49.6,0
IMD-1052,Rajasthan,Northwest,28.177,75.143,2026-10-22,2026,10,295,50.5,0
IMD-1710,Chhattisgarh,Central,22.664,80.628,2022-05-16,2022,5,136,26.0,0
IMD-1668,West Bengal,East,22.855,89.665,2022-06-26,2022,6,177,32.0,0
IMD-1678,West Bengal,East,22.851,89.252,2022-12-05,2022,12,339,44.6,0
IMD-1004,Rajasthan,Northwest,27.57,73.506,2021-03-31,2021,3,90,36.4,0
IMD-1377,Odisha,East,20.182,86.307,2021-04-20,2021,4,110,30.6,0
IMD-1600,Telangana,South Peninsula,16.303,78.651,2021-09-19,2021,9,262,39.7,0
IMD-1084,Uttar Pradesh,Indo-Gangetic Plain,25.364,82.794,2024-10-13,2024,10,287,48.1,0
IMD-1624,Punjab,Northwest,30.53,74.362,2022-02-01,2022,2,32,36.4,0
IMD-1063,Rajasthan,Northwest,28.461,75.602,2023-06-12,2023,6,163,34.3,0
IMD-1884,Kerala,South,9.777,77.566,2025-05-07,2025,5,127,26.7,0
